id,title,overview,release_date,vote_average,poster_path,genre_ids
603692,존 윅 4,"죽을 위기에서 살아난 존 윅은 최고 회의를 쓰러트릴 방법을 찾아낸다. 비로소 완전한 자유의 희망을 보지만, 빌런 그라몽 후작과 전 세계의 최강 연합은 존 윅의 오랜 친구까지 적으로 만들어 버리고, 새로운 위기에 놓인 존 윅은 최후의 반격을 준비하는데...",2023-03-22,8,/9WF6TxCYwdiZw51NM92ConaQz1w.jpg,"액션, 스릴러, 범죄"
502356,슈퍼 마리오 브라더스,따단-딴-따단-딴 ♫ 전 세계를 열광시킬 올 타임 슈퍼 어드벤처의 등장! 뉴욕의 평범한 배관공 형제 '마리오'와 ‘루이지’는 배수관 고장으로 위기에 빠진 도시를 구하려다 미스터리한 초록색 파이프 안으로 빨려 들어가게 된다. 파이프를 통해 새로운 세상으로 차원 이동하게 된 형제. 형 '마리오'는 뛰어난 리더십을 지닌 '피치'가 통치하는 버섯왕국에 도착하지만 동생 '루이지'는 빌런 '쿠파'가 있는 다크랜드로 떨어지며 납치를 당하고 ‘마리오’는 동생을 구하기 위해 ‘피치’와 ‘키노피오’의 도움을 받아 '쿠파'에 맞서기로 결심한다. 그러나 슈퍼스타로 세상을 지배하려는 그의 강력한 힘 앞에 이들은 예기치 못한 위험에 빠지게 되는데...!,2023-04-05,7.8,/dlGyzCxbBQK1U2O5o31Z1hB6erc.jpg,"애니메이션, 가족, 모험, 판타지, 코미디"
385687,분노의 질주: 라이드 오어 다이,돔과 그의 패밀리 앞에 나타난 운명의 적 단테. 과거의 그림자는 돔의 모든 것을 파괴하기 위해 달려온다. 단테에 의해 산산히 흩어진 패밀리들은 모두 목숨을 걸고 맞서야 하는 함정에 빠지고 마는데...,2023-05-17,7,/wXNihLltMCGR7XepN39syIlCt5X.jpg,"액션, 범죄, 스릴러"
713704,이블 데드 라이즈,"길바닥에서 지친 베스가 비좁은 아파트에서 세 아이를 키우는 엘리를 뒤늦게 찾아간다. 아파트에서 신비로운 책이 발견되며 육체에 사로잡힌 악마가 발견되며, 베스가 가장 악몽 같은 버전의 모성애에 직면하게 되면서 생존에 위한 원초적인 싸움에 내몰리게 되는데...",2023-04-12,7.1,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg,"스릴러, 공포"
840326,시수,"라플란드의 황야 깊은 곳에서 금을 찾던 아타미 코피는 나치 순찰대를 우연히 만나게 되고, 파괴되고 채굴된 라플란드 황야를 가로지르는 숨막히는 추격전이 시작된다.",2023-01-27,7.6,/uCAaaAQEDrTllYR4dtsEsfQa8We.jpg,"액션, 전쟁"
447277,인어공주,"아틀란티카 바다의 왕 트라이튼의 사랑스러운 막내딸인 인어 에리얼은 늘 인간들이 사는 바다 너머 세상으로의 모험을 꿈꾼다. 어느 날, 우연히 바다 위로 올라갔다가 폭풍우 속 가라앉는 배에 탄 인간 에릭 왕자의 목숨을 구해준다. 갈망하던 꿈과 운명적인 사랑을 이루기 위해 용기를 낸 에리얼은 사악한 바다 마녀 울슐라와의 위험한 거래를 통해 다리를 얻게 된다. 드디어 바다를 벗어나 그토록 원하던 인간 세상으로 가게 되지만, 그 선택으로 에리얼과 아틀란티카 왕국 모두 위험에 처하게 되는데… 바닷속, 그리고 그 너머 아름다운 꿈과 사랑의 멜로디가 펼쳐진다!",2023-05-18,5.8,/8k8tmcx5e6ShpackLnDswBo1tnB.jpg,"모험, 가족, 판타지, 로맨스"
640146,앤트맨과 와스프: 퀀텀매니아,"슈퍼히어로 파트너인 스캇 랭과 호프 반 다인, 호프의 부모 재닛 반 다인과 행크 핌, 그리고 스캇의 딸 캐시 랭까지 미지의 양자 영역 세계 속에 빠져버린 앤트맨 패밀리. 그 곳에서 새로운 존재들과 무한한 우주를 다스리는 정복자 캉을 만나며, 그 누구도 예상 못 한 모든 것의 한계를 뛰어넘는 모험을 시작하게 되는데…",2023-02-15,6.5,/sz6mTIDDQmR3DYgJudiTmoW2gR5.jpg,"액션, 모험, SF"
447365,가디언즈 오브 갤럭시: Volume 3,"가모라를 잃고 슬픔에 빠져 있던 피터 퀼이 위기에 처한 은하계와 동료를 지키기 위해 다시 한 번 가디언즈 팀과 힘을 모으고, 성공하지 못할 경우 그들의 마지막이 될지도 모르는 미션에 나서는 이야기.",2023-05-03,8.1,/b7epV2cQZVIR4u5VZraDwD0AgiE.jpg,"SF, 모험, 액션"
552688,내 이름은 마더,은둔 생활을 하던 군 출신 암살자. 복수에 혈안이 된 무자비한 범죄자들의 손아귀에서 한 번도 만난 적 없는 딸을 지키기 위해 세상 밖으로 나온다.,2023-05-04,6.8,/vnRthEZz16Q9VWcP5homkHxyHoy.jpg,"액션, 스릴러"
758323,엑소시스트: 더 바티칸,"바티칸이 인정한 공식 수석 엑소시스트이자 최고의 구마사제 '가브리엘 아모르트’ 신부(러셀 크로우)는 한 어린 소년에게 들린 악마를 구마하기 위해 스페인으로 향한다. 그리고 그곳에서 바티칸이 숨겨온 충격적인 비밀과 마주하고, '토마스 에스퀴벨’ 신부(다니엘 조바토)와 함께 진실을 파헤치게 되는데...",2023-04-05,7.3,/fA1xRPplBqW87wWh0hO1pwbQmX8.jpg,"공포, 스릴러"
76600,아바타: 물의 길,"판도라 행성에서 제이크 설리와 네이티리가 이룬 가족이 겪게 되는 무자비한 위협과 살아남기 위해 떠나야 하는 긴 여정과 전투, 그리고 견뎌내야 할 상처에 대한 이야기를 그렸다. 살아남기 위해 설리 가족이 숲에서 바다로 터전을 옮기면서 겪게 되는 화합의 과정, 그리고 곳곳에서 도사리는 새로운 위협까지 역경 속에서 더 아름답게 펼쳐진다.",2022-12-14,7.7,/z56bVX93oRG6uDeMACR7cXCnAbh.jpg,"SF, 모험, 액션"
594767,샤잠! 신들의 분노,"신들의 힘을 갖게 된 빌리와 친구들은 각자의 방법으로 슈퍼히어로의 삶을 즐기게 된다. 그러던 그들 앞에 잃어버린 힘을 되찾고자 그리스 여신 헤스페라와 칼립소가 나타나게 되고, 세상은 혼돈에 빠지게 되는데…",2023-03-15,6.8,/f5907P7GdAGI22PHNRfqoKCAcDR.jpg,"코미디, 액션, 판타지"
882569,더 커버넌트,"아프가니스탄에서 적들에게 습격을 받아 죽을뻔했던 미 육군 병사가 현지 통역사의 도움과 노력으로 살아나 미국으로 돌아가게 되는데, 그 통역사와 가족은 약속대로 미국으로 오지 못한 사실을 알게 되자, 자신이 직접 그 가족들을 구하기 위해 아프가니스탄으로 향한다.",2023-04-19,7.5,/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg,"전쟁, 액션, 스릴러"
